"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,187,"ROU","Romania",1,"Alba",1,"Abrud","Comune","Commune",NA,"Oras Abrud"
2,187,"ROU","Romania",1,"Alba",2,"Aiud","Comune","Commune",NA,"Municipiul Aiud"
3,187,"ROU","Romania",1,"Alba",3,"Alba Iulia","Comune","Commune",NA,"Municipiul Alba Iulia"
4,187,"ROU","Romania",1,"Alba",4,"Albac","Comune","Commune",NA,NA
5,187,"ROU","Romania",1,"Alba",5,"Almasu Mare","Comune","Commune",NA,NA
6,187,"ROU","Romania",1,"Alba",6,"Arieseni","Comune","Commune",NA,NA
7,187,"ROU","Romania",1,"Alba",7,"Avram Iancu","Comune","Commune",NA,NA
8,187,"ROU","Romania",1,"Alba",8,"Baia De Aries","Comune","Commune",NA,"Oras Baia De Aries"
9,187,"ROU","Romania",1,"Alba",9,"Berghin","Comune","Commune",NA,NA
10,187,"ROU","Romania",1,"Alba",10,"Bistra","Comune","Commune",NA,NA
11,187,"ROU","Romania",1,"Alba",11,"Blaj","Comune","Commune",NA,"Municipiul Blaj"
12,187,"ROU","Romania",1,"Alba",12,"Blandiana","Comune","Commune",NA,NA
13,187,"ROU","Romania",1,"Alba",13,"Bucium","Comune","Commune",NA,NA
14,187,"ROU","Romania",1,"Alba",14,"Calnic","Comune","Commune",NA,NA
15,187,"ROU","Romania",1,"Alba",15,"Campeni","Comune","Commune",NA,"Oras Campeni"
16,187,"ROU","Romania",1,"Alba",16,"Cenade","Comune","Commune",NA,NA
17,187,"ROU","Romania",1,"Alba",17,"Cergau Mare","Comune","Commune",NA,"Cergau"
18,187,"ROU","Romania",1,"Alba",18,"Ceru-bacainti","Comune","Commune",NA,NA
19,187,"ROU","Romania",1,"Alba",19,"Cetatea De Balta","Comune","Commune",NA,NA
20,187,"ROU","Romania",1,"Alba",20,"Ciugud","Comune","Commune",NA,NA
21,187,"ROU","Romania",1,"Alba",21,"Ciuruleasa","Comune","Commune",NA,NA
22,187,"ROU","Romania",1,"Alba",22,"Craciunelu De Jos","Comune","Commune",NA,NA
23,187,"ROU","Romania",1,"Alba",23,"Cricau","Comune","Commune",NA,NA
24,187,"ROU","Romania",1,"Alba",24,"Cugir","Comune","Commune",NA,"Oras Cugir"
25,187,"ROU","Romania",1,"Alba",25,"Daia Romana","Comune","Commune",NA,NA
26,187,"ROU","Romania",1,"Alba",26,"Dostat","Comune","Commune",NA,NA
27,187,"ROU","Romania",1,"Alba",27,"Farau","Comune","Commune",NA,NA
28,187,"ROU","Romania",1,"Alba",28,"Galda De Jos","Comune","Commune",NA,NA
29,187,"ROU","Romania",1,"Alba",29,"Garbova","Comune","Commune",NA,NA
30,187,"ROU","Romania",1,"Alba",30,"Garda De Sus","Comune","Commune",NA,NA
31,187,"ROU","Romania",1,"Alba",31,"Hoparta","Comune","Commune",NA,NA
32,187,"ROU","Romania",1,"Alba",32,"Horea","Comune","Commune",NA,NA
33,187,"ROU","Romania",1,"Alba",33,"Ighiu","Comune","Commune",NA,NA
34,187,"ROU","Romania",1,"Alba",34,"Intregalde","Comune","Commune",NA,"Ãžntregalde"
35,187,"ROU","Romania",1,"Alba",35,"Jidvei","Comune","Commune",NA,NA
36,187,"ROU","Romania",1,"Alba",36,"Livezile","Comune","Commune",NA,NA
37,187,"ROU","Romania",1,"Alba",37,"Lopadea Noua","Comune","Commune",NA,NA
38,187,"ROU","Romania",1,"Alba",38,"Lunca Muresului","Comune","Commune",NA,NA
39,187,"ROU","Romania",1,"Alba",39,"Lupsa","Comune","Commune",NA,NA
40,187,"ROU","Romania",1,"Alba",40,"Metes","Comune","Commune",NA,NA
41,187,"ROU","Romania",1,"Alba",41,"Mihalt","Comune","Commune",NA,NA
42,187,"ROU","Romania",1,"Alba",42,"Miraslau","Comune","Commune",NA,NA
