province;area_km2;population_2007;municipalities;cities;comunes;villages
Bacău;6621;719844;3;5;85;491
Botoșani;4986;454167;2;5;71;333
Iași;5476;825100;2;3;93;418
Neamț;5896;566059;2;3;78;344
Suceava;8553;705878;5;11;98;379
Vaslui;5318;455594;3;2;81;449
Brăila;4766;365628;1;3;40;140
Buzău;6103;488763;2;3;82;475
Constanța;7071;718330;3;9;58;189
Galați;4466;614449;2;2;61;180
Tulcea;8499;250641;1;4;46;133
Vrancea;4857;392619;2;3;68;331
Argeș;6826;644236;3;4;95;576
Călărași;5088;315187;2;3;50;160
Dâmbovița;4054;533330;2;5;82;353
Giurgiu;3526;283408;1;2;51;167
Ialomița;4453;290563;3;4;59;127
Prahova;4716;821013;2;12;90;405
Teleorman;5790;413064;3;2;92;231
Dolj;7414;712187;3;4;104;378
Gorj;5602;381643;2;7;61;411
Mehedinți;4933;298741;2;3;61;344
Olt;5498;475702;2;6;104;377
Vâlcea;5765;411576;2;9;78;560
Arad;7754;457713;1;9;68;270
Caraș-Severin;8520;327579;2;6;69;287
Hunedoara;7063;472284;7;7;55;457
Timiș;8697;666866;2;8;89;313
Bihor;7544;594131;4;6;91;430
Bistrița-Năsăud;5355;316689;1;3;58;235
Cluj;6674;692316;5;1;75;420
Maramureș;6304;513000;2;11;63;214
SatuMare;4418;366270;2;4;59;220
Sălaj;3864;243157;1;3;57;281
Alba;6242;376086;4;7;67;656
Brașov;5363;593928;4;6;48;149
Covasna;3710;223364;2;3;40;122
Harghita;6639;325611;4;5;58;235
Mureș;6714;581759;4;7;91;464
Sibiu;5432;423156;2;9;53;162
Ilfov;1583;294094;0;8;32;91
București;238;1931838;1;0;0;0
